JANUARY 5|The Holy Martyr Theoeidus.|0
JANUARY 5|Our righteous Mother Dornnina.|0
JANUARY 5|Our righteous MotherTatiana.|0
JANUARY 5|The Holy New Righteous .1\.l.artyr Roman us of Carpenision.|0
JANUARY 5|The Holy New Hieromartyr Romanus ofLacedaemonia.|0
JANUARY 6|Our Lord and God and Saviour Jesus Christ, Whose HolyTheophany we celebrate.|1
JANUARY 7|The Holy and glorious Prophet, Forerunner, and Baptist John, Whose Syna.xis we celebrate, and the translation of whose most precious and Holy right hand to Constantinople we commemorate.|1
JANUARY 7|The Holy New Martyr Athanasius of Attalia.|0
JANUARY 7|The Holy Virgin .1\tlartyr Macra of Rheims.|0
JANUARY 7|Saint Brannock of Ireland, the Abbot.|0
JANUARY 7|The Holy New Hieromartyr Andrew, Archpriest ofChernigov, and his daughters Dominica, Lydia, Mary, and two other daughters.|0
JANUARY 8|Our righteous Mother Domnica.|1
JANUARY 8|Our righteous Father George of Hozeva.|0
JANUARY 8|The Holy Martyrs Julian, Basilissa, Celsus, and Anthony the Priest, and those with them, at Antinoe in Egypt.|0
JANUARY 8|The Holy Hieromartyr Carterius of Caesarea in Cappadacia.|0
JANUARY 8|Our Fathers among the Saints Cyrus, Archbishop of Constantinople, and Atticus, Patriarch of Constantinople.|0
JANUARY 8|The Holy Prophet Sameas the Elamite.|0
JANUARY 8|Our righteous Father Agatho of Egypt.|0
JANUARY 8|The Holy Martyrs Theophilus the Deacon and Helladius of Libya.|0
JANUARY 8|Our righteous Father Severinus ofNoricum.|0
JANUARY 8|Our righteous Mother Gudula of Brussels.|0
JANUARY 8|Our righteous Mother Pega of Peakirk, sister of Saint|0
JANUARY 8|Guthlac of Crowland.|0
JANUARY 8|The Holy Martyr Abo the Perfumer of Baghdad, who was beheaded in Tbilisi.|0
JANUARY 8|Our righteous Father Emilian the Confessor, Bishop of Cyzicus.|0
JANUARY 8|Our Father among the Saints Gregory, Bishop of Moesia.|0
JANUARY 8|The Righteous Martyr Gregory the Wonderworker, and our righteous Father Gregory the Recluse, of the Kiev Caves.|0
JANUARY 8|The Holy Hieromartyr Isidore and the 72 martyred with him by the Latins at Yuriev in Estonia.|0
JANUARY 8|Our righteous Father Paisius of Uglich.|0
JANUARY 9|The Holy Martyr Polyeucrus of Melitene in Armenia.|1
JANUARY 9|Our righteous Father Eustratius the Wonderworker of the Monastery of Agaurus near Prusa.|0
JANUARY 9|The Holy Martyr Parthena of Edessa in Macedonia.|0
JANUARY 9|Saint Peter, Bishop ofSebastia, brother of Saint Basil the Great.|0
JANUARY 9|Our righteous Father Finian, Bishop ofLindisfarne.|0
JANUARY 9|Our righteous Father Adrian, Abbot of Canterbury.|0
JANUARY 9|The Holy Hieromartyr Philip, Metropolitan of Moscow.|0
JANUARY 10|Our Father among the Saints Gregory, Bishop of Nyssa.|1
JANUARY 10|Our Father among the Saints Dometian, Bishop of Melitene.|0
JANUARY 10|Our righteous Father Marcian, Presbyter and Steward of the Great Church.|0
JANUARY 10|Our righteous Father Ammonius.|0
JANUARY 10|Our Father among the Saints Miltiades, Pope of Rome.|0
JANUARY 10|Our righteous Fathers Paul of Obnora and Macari us of Pisma, his disciple.|0
JANUARY 11|Our righteous Father Theodosius the Cenobiarch, the instructor of the wilderness.|1
JANUARY 11|The Ten Thousands of Holy Angels, whose Synaxis we celebrate.|0
JANUARY 11|Saints Stephen of Placidiane, Theodore, and Agapius the Archimandrite.|0
JANUARY 11|The Holy Martyr Major.|0
JANUARY 11|Our righteous Father Vitali us of the Monastery of Saint Seridus in Gaza.|0
JANUARY 11|Our righteous Father Theodosius of Philotheou Monastery, Bishop of Trebizond.|0
JANUARY 11|Saint Michael of Klops, the Fool for Christ's sake.|0
JANUARY 12|The Holy MartyrTatiana of Rome, the Deaconess.|1
JANUARY 12|The Holy Martyr Peter Absalom of Eleutheropolis in Palestine.|0
JANUARY 12|The Holy Martyr Mertius.|0
JANUARY 12|The Holy Eight Martyrs ofNicaea.|0
JANUARY 12|The Holy Martyr Euthasia.|0
JANUARY 12|Our righteous Father Elias the Wonderworker of Egypt.|0
JANUARY 12|Our righteous Father Benedict Biscop, Abbot of Wearmouth and Jarrow.|0
JANUARY 12|Our righteous Fathers Martini an of Belozersk and Galaction his disciple.|0
JANUARY 13|The Holy Martyrs Hermylus and Stratonicus.|1
JANUARY 13|Our righteous Father James, Bishop ofNisibis.|0
JANUARY 13|The Holy Martyr Athanasius.|0
JANUARY 13|The Holy Martyrs Pachomius and Papyrinus.|0
JANUARY 13|Our righteous Father Maxim us the Hut-burner of Kafsokalyvia on Mount Athos.|0
JANUARY 13|Our Fathers among the Saints Leontius, Bishop of Caesarea in Cappadocia; Hilary, Bishop of Poitiers; and Remigius, Bishop of Rheims.|0
JANUARY 13|The Holy Martyrs Gumesind the Priest and Servideus the Monk of Cordova.|0
JANUARY 13|Our righteous Father Irenarchus the Recluse of Rostov.|0
JANUARY 13|Our righteous Father Eleazar of Anzersk.|0
JANUARY 14|The Holy Fathers slain at Sinai and Raithu.|1
JANUARY 14|Saint Sabbas, First Archbishop of Serbia, Founder of Hilandar Monastery.|0
JANUARY 14|Our righteous FatherTheodulus, son ofNilus the Wise.|0
JANUARY 14|Our righteous Father Stephen, Founder of the Monastery of Chenolakkos.|0
JANUARY 14|The Holy Martyr Agnes.|0
JANUARY 14|Saint Felix, Priest of Nola in Campania.|0
JANUARY 14|Saint Nina, the Enlightener of Georgia and Equal to the Apostles.|0
JANUARY 14|Saint Macrina the Elder, grandmother of Saint Basil the Great.|0
JANUARY 14|Saint Kentigern, First Bishop of Glasgow.|0
JANUARY 14|The Holy New Hieromartyrs Plato, Bishop of Revel, and Michael and Nicholas the Presbyters.|0
JANUARY 14|The Holy New Righteous Martyrs of the Monastery of Sinai and Raithu near Kazan.|0
JANUARY 15|Our righteous Father Paul of Thebes.|1
JANUARY 15|Our righteous Father John the Hut-dweller.|0
JANUARY 15|The Holy Martyr Pansophius of Alexandria.|0
JANUARY 15|The Holy Six Fathers.|0
JANUARY 15|Our Father among the Saints Maxim us, Bishop of Nola.|0
JANUARY 15|Our righteous Mother Ita of Killeedy.|0
JANUARY 15|Our righteous Father Gabriel of Lesnovo in Bulgaria.|0
JANUARY 15|Our righteous Father Prochorus of Pshina in Bulgaria.|0
JANUARY 16|The Holy and glorious Apostle Peter, the veneration of whose precious chains we celebrate.|1
JANUARY 16|The Holy Martyrs Peusippus, Elasippus, and Mesippus the triplets, and Neonilla their grandmother, of Cappadocia.|0
JANUARY 16|The Holy Martyr Danax the Reader of Illyricum.|0
JANUARY 16|The Holy New Martyr Damascene of Gambrovo in Turnovo.|0
JANUARY 16|The Holy New Martyr Nicholas of Lesbos.|0
JANUARY 16|Saint Priscilla of Rome, disciple of the Holy Apostle Peter.|0
JANUARY 16|Our Father among the Saints Honoratus, Archbishop of Aries, Founder of the Monastery of Lerins.|0
JANUARY 16|Saint Maxim us of Totma, the Fool for Christ's sake.|0
JANUARY 17|Our righteous and God-bearing Father Anthony the Great.|1
JANUARY 17|Our righteous Father Achillas of Egypt.|0
JANUARY 17|The pious Emperor Theodosius the Great.|0
JANUARY 17|Our righteous and God-bearing Father Anthony the New, the Wonderworker, of the Skete ofBeroea.|0
JANUARY 17|The Holy New Martyr George of Ioannina.|0
JANUARY 17|Our Fathers among the Saints Sabine, Bishop of Piacenza, and Sulpicius, Bishop of Bourges.|0
JANUARY 17|Our righteous Fathers Anthony the Roman of Novgorod, Anthony of Dymya, Anthony of Krasny Kholm, and Anthony of Chernozersk.|0
JANUARY 17|The Holy New Martyrs Paul Alexandrovich, Demetrius Constantinovich, and George Mikhailovich, the Grand Dukes.|0
JANUARY 18|Our Fathers among the Saints Athanasius and Cyril,Patriarchs of Alexandria.|1
JANUARY 18|The Holy Martyrs Theodula of Anazarbus and those with her: Boethus and Helladius the superintendent of the prison, and Evagrius and Macarius.|0
JANUARY 18|The Holy Martyr Xenia.|0
JANUARY 18|Our righteous Father Marcian of Cyrrhus in Syria.|0
JANUARY 18|Our righteous Father Silvan of Palestine.|0
JANUARY 18|Saint Ephraim, Bishop of Mylassa in Asia Minor.|0
JANUARY 18|Our righteous Father Leobardus of Tours, the Recluse.|0
JANUARY 18|Our Father among the Saints Maxim us of Serbia, Archbishop of Wallachia.|0
JANUARY 18|Our righteous Father Athanasius of Syandebo.|0
JANUARY 18|Our righteous Father Athanasius ofNovolotsk.|0
JANUARY 18|The Holy New Hieromartyr Athanasius, Hieromonk in Poltava.|0
JANUARY 19|Our righteous Fathers Macari us the Great of Egypt, the Anchorite, and Macarius of Alexandria.|1
JANUARY 19|Our Father among the Saints Mark Eugenicus, Metropolitan of Ephesus, the single-handed contender and champion of Orthodoxy.|0
JANUARY 19|The Holy Martyr Euphrasia of Nicomedia.|0
JANUARY 19|Saint Gregory the Theologian, the translation of whose Holy relics to the temple of the Holy Apostles in Constantinople we commemorate.|0
JANUARY 19|Our Father among the Saints Arsenius, Archbishop of Corfu.|0
JANUARY 19|Our righteous Father Meletius the Confessor of Mount Galesion.|0
JANUARY 19|Our righteous Father Anthony the Stylite of Martkopi in Georgia.|0
JANUARY 19|Our righteous Fathers Macarius the Faster and Macarius the Hierodeacon of the Kiev Caves.|0
JANUARY 19|The righteous and just Theodore, the Fool for Christ's sake of Novgorod.|0
JANUARY 19|Our righteous Father Macarius the Roman of Novgorod.|0
JANUARY 19|Our righteous Father Sabbas of Zvenigorod, the recovery of whose Holy relics we commemorate.|0
JANUARY 19|The Holy New Hieromartyr Gregory, Archpriest in Kronstadt.|0
JANUARY 20|Our righteous Father Euthymius the Great of Palestine.|1
JANUARY 20|The Holy Martyrs Bassus, Eusebius, Eutychius, and Basilides of Nicomedia.|0
JANUARY 20|The Holy Martyrs Inna, Pinna, and Rimma.|0
JANUARY 20|The blessed Peter the Publican of Mrica, who reposed in Constantinople.|0
JANUARY 20|The Holy Martyrs Thyrsus of Apollonia in the Hellespont and Agnes, whose Synaxis is celebrated near the Helenianae.|0
JANUARY 20|The most pious Emperor Leo the Great of Thrace.|0
JANUARY 20|The Holy Martyr Anna.|0
JANUARY 20|The Holy New Martyr Zacharias of Patras in the Peloponnesus.|0
JANUARY 20|Our righteous Fathers Laurence the Recluse and Euthymius the Silent of the Kiev Caves.|0
JANUARY 20|Our righteous Father Euthymius of Syanzhema.|0
JANUARY 21|Our Most Holy Lady, the Theotokos and Ever-Virgin Mary, the Synaxis of whose Icons called Directress and Consolation of Vatopedi Monastery we celebrate.|1
JANUARY 21|Our righteous Father Maximus the Confessor.|0
JANUARY 21|The Holy Martyr Neophytus of Nicaea.|0
JANUARY 21|Our righteous Father Zosimas, Bishop of Syracuse in Sicily.|0
JANUARY 21|The Holy Martyrs Eugene, Valerian, Candidus, and Aquila of Trebizond.|0
JANUARY 21|The Holy Great Martyr Irene, whose Synaxis in the most Holy Church which is near the sea we celebrate.|0
JANUARY 21|The Holy Virgin Martyr Agnes of Rome.|0
JANUARY 21|The Holy Four Martyrs ofTyre.|0
JANUARY 21|Our righteous Father Neophytus, church-warden of the Monastery of Vatopedi, who heard the voice of the Theotokos come forth from her Holy icon.|0
JANUARY 21|The Holy Hieromartyrs Fructuosus, Bishop of Tarragona, and his deacons Augurius and Eulogius.|0
JANUARY 21|Our Father among the Saints Epiphanius, Bishop of Pavia.|0
JANUARY 21|The Holy Righteous Martyr Meinrad of Einsiedeln.|0
JANUARY 21|Our righteous Father Maxim us the Greek of Russia.|0
JANUARY 22|The Holy Apostle Timothy, disciple of Saint Paul.|1
JANUARY 22|The Holy Righteous Martyr Anastasius of Persia.|0
JANUARY 22|The Holy Martyrs Manuel, Bishop of Adrianople; George, Bishop of Deultum; Peter the Presbyter; Leontius,Bishop of Nicaea; Sionius, Gabriel, John, and Leo the Military Tribunes; Parodus the Presbyter; and another 377,who were martyred in Bulgaria.|0
JANUARY 22|Our righteous Father Joseph the Sanctified of Crete, surnamed Samacus.|0
JANUARY 22|The Holy Righteous Martyr Anastasius the Deacon of the Kiev Caves.|0
JANUARY 22|Our righteous Father Macarius the Wonderworker of Zhabyn.|0
JANUARY 23|The Holy Hieromartyr Clement, Bishop of Ancyra, and the Holy Martyr Agathangelus.|1
JANUARY 23|Our righteous Fathers Eusebius, Ma1simas, and Salamanes the Silent, of Syria.|0
JANUARY 23|The Holy Two Martyrs of Parium.|0
JANUARY 23|Our righteous and God-bearing Father Dionysius of Olympus.|0
JANUARY 23|Our righteous Father Gennadius of Kostroma.|0
JANUARY 23|Saint Theoctistus, Archbishop of Novgorod, the recovery of whose Holy relics we commemorate.|0
JANUARY 24|Our righteous Mother Xenia of Rome and her two handmaids.|1
JANUARY 24|Our righteous Mother, Blessed Xenia, the Fool for Christ's sake and Wonderworker of Saint Petersburg.|0
JANUARY 24|The Holy Martyred Brethren Paul, Pausirius, and Theodotion of Egypt.|0
JANUARY 24|The Holy Hieromartyr Babylas of Sicily and Timothy and Agapius his disciples.|0
JANUARY 24|Our righteous Father Macedonius of Syria.|0
JANUARY 24|The Holy Righteous Martyr Anastasius of Persia, the recovery of whose sacred relics we commemorate.|0
JANUARY 24|The Holy Martyrs Hermogenes and Menas.|0
JANUARY 24|Our righteous Father Philo, Bishop of Carpasia in Cyprus.|0
JANUARY 24|Our righteous Father Philip the Presbyter.|0
JANUARY 24|The Holy Martyr Barsimus of Syria and his two brethren.|0
JANUARY 24|Our righteous Father Zosimas.|0
JANUARY 24|Our righteous Father Neophytus the Recluse of Cyprus.|0
JANUARY 24|The Holy Hieromartyr Felician, Bishop of Foligno in Umbria.|0
JANUARY 24|Our righteous Father Cadoc of Llancarfan in Wales.|0
JANUARY 24|Our Father among the Saints Gerasimus, Bishop of Perm.|0
JANUARY 24|The Holy Martyr John of Kazan.|0
JANUARY 24|The Holy New Hieromartyr Anatolius, Archbishop of Irkutsk.|0
JANUARY 25|Our Most Holy Lady, the Theotokos and Ever-virgin Mary, the Synaxis of whose Icon called Assuage my Sorrows we celebrate.|1
JANUARY 25|Our Father among the Saints Gregory the Theologian, Archbishop of Constantinop]e.|0
JANUARY 25|Our righteous Fathers Publius and Mares of Syria.|0
JANUARY 25|The Holy Martyr Medula and those with her.|0
JANUARY 25|Our righteous Father Demetrius the Sacristan.|0
JANUARY 25|Our righteous Father Apollo of Egypt.|0
JANUARY 25|The Holy New Martyr Auxentius of Constantinople.|0
JANUARY 25|Our Father among the Saints Castinus, Bishop of Byzantium.|0
JANUARY 25|The Holy Martyr Felicity of Rome and her seven martyred sons: Januarius, Felix, Philip, Silvan, Alexander, Vitalius, and Martial.|0
JANUARY 25|Our Father among the Saints Moses, Archbishop of Novgorod.|0
JANUARY 25|Our righteous Father Anatolius the Elder of Optina.|0
JANUARY 25|The Holy New Hieromartyr Vladimir, Metropolitan of Kiev, First of the New Mart)Ts of Russia.|0
JANUARY 26|Our righteous Father Xenophon of Constantinople, his wife Mary, and their sons Arcadius and John.|1
JANUARY 26|Our righteous Father Syrneon the Ancient.|0
JANUARY 26|The Holy Martyrs Ananias the Presbyter and Peter the prison-guard, and seven soldiers martyred with them in Phoenicia.|0
JANUARY 26|Our righteous Father Ammonas of Egypt.|0
JANUARY 26|Our righteous Father Gabriel.|0
JANUARY 26|The Holy Two Martyrs of Phrygia.|0
JANUARY 26|Our righteous and God-bearing Father Clement of Mount Sagmatius.|0
JANUARY 26|Saint Theodore the Studite, the return of whose Holy relics to the Monastery of Studium we commemorate.|0
JANUARY 26|Saint David the Restorer, King of Georgia.|0
JANUARY 26|Our righteous Father Xenophon of Robeika.|0
JANUARY 26|The Holy New Hieromartyr Arcadius, Bishop of the Catacomb Church in Russia.|0
JANUARY 26|The Holy New Righteous Martyr Mary of Gatchina.|0
JANUARY 27|Our Father among the Saints John Chrysostom, Archbishop of Constantinople, the recovery of whose Holy relics we commemorate.|1
JANUARY 27|The Holy Empress Marciana.|0
JANUARY 27|Our righteous Father Claudinus.|0
JANUARY 27|Our righteous Father Peter of Egypt, who attained unto deep old age.|0
JANUARY 27|The Holy New Martyr Demetrius of Constantinople.|0
JANUARY 27|The Holy Virgin Martyr Devota of Corsica.|0
JANUARY 27|The Holy New Hieromartyr Peter, Archbishop of Voronezh.|0
JANUARY 28|Our righteous and God-bearing Fathers Ephraim and Isaac the Syrians.|1
JANUARY 28|Our righteous Father Palladius of Antioch.|0
JANUARY 28|Our righteous Father James the Ascetic.|0
JANUARY 28|The HolyTwo Martyrs, a mother and her daughter.|0
JANUARY 28|The Holy Martyr Grace.|0
JANUARY 28|The Holy Confessor Valerius, Bishop of Saragossa.|0
JANUARY 28|Our righteous Father Ephraim, Wonderworker of Novotorzhok.|0
JANUARY 28|Our righteous Father Ephraim of the Kiev Caves, Bishop of Pereyaslavl.|0
JANUARY 28|Our righteous FatherTheodosius of Totma.|0
JANUARY 29|The Holy Hieromartyr Ignatius the God-bearer, the recovery of whose sacred relics we commemorate.|1
JANUARY 29|The Holy Seven Martyrs of Samosata: Philotheus, Hyperechius, Habib, Julian, Roman us, James, and Paregorius.|0
JANUARY 29|The Holy Martyrs Silvan, Bishop of Emesa, Luke the Deacon, and Mocius the Reader.|0
JANUARY 29|The Holy Martyrs Sarbelus and Bebaia his sister, of Edessa; and the Holy Confessor Barsimaeus, Bishop of Edessa, by whom they were converted.|0
JANUARY 29|Our righteous Father Aphrahat of Persia.|0
JANUARY 29|Our righteous Father Acepsimas.|0
JANUARY 29|The Holy and glorious New Martyr Demetrius of Chios.|0
JANUARY 29|The Holy Martyr Ashot the Curopalates of Georgia.|0
JANUARY 29|Our Father among the Saints Laurence of the Kiev Caves, Bishop of Turov.|0
JANUARY 29|Our Fathers among the Saints Gerasimus, Pitirim, and Jonas, Bishops of Perm.|0
JANUARY 30|Our Most Holy Lady, the Theotokos and Ever-virgin Mary, the Synaxis of whose Tinos Icon we celebrate.|1
JANUARY 30|Our Fathers among the Saints and Universal Teachers, Basil the Great, Gregory the Theologian, and John Chrysostom.|0
JANUARY 30|The Holy Hieromartyr Hippolytus, Pope of Rome, and those with him: Censurinus, Sabainus, Chryse (Aurea),Felix, Maximus, Herculianus, Venerius, Styracius, Menas,Commodus, Hermes, Maurus, Eusebius, Rusticus, Monagrius, Amandinus, Olympius, Cyprus, Theodore the Tribune, Maximus the Presbyter, Archelaus the Deacon, and Cyriacus the Bishop, who were martyred in Ostia.|0
JANUARY 30|The Holy New Martyr Theophilus of Constantinople.|0
JANUARY 30|The Holy New Martyr Hatzi Theodore of Mytilene.|0
JANUARY 30|The most pious Peter, King of Bulgaria.|0
JANUARY 30|Our righteous Father Zeno the Faster of the Kiev Caves.|0
JANUARY 30|Our righteous Mother Pelagia Ivanovna, the Fool for Christ's sake.|0
JANUARY 31|The Holy and wonderworking Unmercenaries Cyrus and John.|1
JANUARY 31|The Holy Martyr Athanasia and her three daughters, the virgins Theodota, Theoctiste, and Eudoxia.|0
JANUARY 31|The Holy Martyrs Vietorinus, Victor, Nicephorus, Claudius, Diodore, Sarapinus, and Pappias of Corinth.|0
JANUARY 31|The Holy MartyrTryphaina of Cyzicus.|0
JANUARY 31|The Holy New Martyr Elias Ardunis of Kalamae in the Peloponnesus.|0
JANUARY 31|Our Father among the Saints Geminianus, Bishop of Modena.|0
JANUARY 31|Our Father among the Saints Nicetas of the Kiev Caves,who became Bishop of Novgorod.|0
JANUARY 31|Our righteous Father Pachomius ofKena.|0
FEBRUARY 1|The Holy MartyrTrypho of Lampsacus in Phrygia.|1
FEBRUARY 1|Our righteous Father Peter of Galatia, who led the ascetic life in Antioch.|0
FEBRUARY 1|Our righteous Father Bendimianus of Saint Auxentius Mountain.|0
FEBRUARY 1|Our righteous Father Basil the Confessor, Archbishop of Thessalonica.|0
FEBRUARY 1|Our righteous FatherTimothy.The Holy Martyrs Theion and two children.|0
FEBRUARY 1|The Holy Martyr Carion.|0
FEBRUARY 1|The Holy Martyr Perpetua of Carthage and those with her: Saturus, Revocatus, Satuminus, Secundus, and Felicity.|0
FEBRUARY 1|The Holy New Martyr Anastasius of Nauplion.|0
FEBRUARY 1|Saint Severus, Bishop of Ravenna.|0
FEBRUARY 1|Our righteous Mother Brigid of Kildare.|0
FEBRUARY 1|The Holy Hieromartyr Agrippanus, Bishop of Puy in Gaul, and his fellow Martyr Ursicinus.|0
FEBRUARY 1|Our righteous Fathers Symeon the Stylite, George, and David of Lesbos, who were brethren.|0
FEBRUARY 1|Saint Trypho of Pechenga.|0
FEBRUARY 1|The Holy New Hieromartyr Peter Sk.ipetrov, Priest of Petro grad.|0
FEBRUARY 2|Our Lord and God and Saviour Jesus Christ, Whose Meeting in the Temple, wherein the righteous Symeon received Him into his arms, we celebrate.|1
FEBRUARY 2|The Holy Martyr Agathodorus of Tyana in Cappadocia.|0
FEBRUARY 2|The Holy New Martyr Jordan of Trebizond.|0
FEBRUARY 2|The Holy New Righteous Martyr Gabriel of Constantinople.|0
FEBRUARY 2|Saint Laurence, Archbishop of Canterbury.|0
FEBRUARY 3|The Holy and just Symeon the God-receiver and Anna the Prophetess, whose Synaxis we celebrate.|1
FEBRUARY 3|The Holy Martyrs Adrian and Eubulus of Caesarea in Palestine.|0
FEBRUARY 3|The Holy Martyr Blaise the Cowherd of Caesarea in Cappadocia.|0
FEBRUARY 3|The Holy Prophet Azarias, son of Addo.|0
FEBRUARY 3|The Holy Martyrs Paul and Simon.|0
FEBRUARY 3|Our righteous Father Claudius.|0
FEBRUARY 3|The Holy New Martyrs and brethren Stamatius and John of Spetsae, and Nicholas their fellow contestant.|0
FEBRUARY 3|Saint Laurence of Syria, Bishop of Spoleto in Umbria.|0
FEBRUARY 3|Saint Anskar, Archbishop of Hamburg and Bremen, Enlightener of Denmark and Sweden.|0
FEBRUARY 3|Saint Romanus, Prince of Uglich.|0
FEBRUARY 3|Our Father among the Saints James, Archbishop of Serbia.|0
FEBRUARY 3|Our Father among the Saints Symeon, First Bishop of Tver.|0
FEBRUARY 3|The Holy New Hieromartyrs Nicholas, Agatha, and Alexander, Priests in Russia.|0
FEBRUARY 4|Our righteous Father Isidore of Pelusium.|1
FEBRUARY 4|Our righteous Father Nicholas the Studite, the Confessor.|0
FEBRUARY 4|The Holy Hieromartyr Abramius, Bishop of Arbeil in Persia.|0
FEBRUARY 4|Our righteous Father John, Bishop oflrenopolis.|0
FEBRUARY 4|The Holy MartyrTheoctistus.|0
FEBRUARY 4|Our righteous Father Jasimus the Wonderworker.|0
FEBRUARY 4|The Holy New Martyr Joseph of Aleppo.|0
FEBRUARY 4|The Holy Hieromartyrs Jadorus, Nemesianus, Felix, another Felix, Lucius, Litteus, Polyaenus, Victor, and Dativus, Bishops in Africa, and those with them.|0
FEBRUARY 4|The Holy Martyrs Phileas, Bishop of Thmuis in Egypt,and Philoromus the Tribune.|0
FEBRUARY 4|Our righteous Father Evagrius of Georgia.|0
FEBRUARY 4|Saint George, Great Prince of Vladimir.|0
FEBRUARY 4|Our righteous Father Cyril, Wonderworker of Novozersk.|0
FEBRUARY 4|Our righteous Fathers Abramius and Coprius of Pechenga.|0
FEBRUARY 4|The Holy New Hieromartyr Methodius, Bishop of Petropavlovsk.|0
FEBRUARY 5|Our Most Holy Lady, the Theotokos and Ever-virgin Mary, the Synaxis of whose Icon called Searcher of the Lost we celebrate.|1
FEBRUARY 5|The Holy Virgin Martyr Agatha of Sicily.|0
FEBRUARY 5|Our righteous Father Theodosius of Scopelus.|0
FEBRUARY 5|Our righteous Father Polyeuctus, Patriarch of Constantinople.|0
FEBRUARY 5|The Holy New Martyr Anthony of Athens.|0
FEBRUARY 5|Our Father among the Saints Theodosius, Archbishop of Chernigov.|0
FEBRUARY 5|The Holy New Martyrs Agatha of Belo-Russia and Paramonus.|0
FEBRUARY 6|Our righteous Father Bucolus, Bishop of Smyrna.|1
FEBRUARY 6|The Holy Martyr Julian ofEmesa.|0
FEBRUARY 6|The Holy Martyrs Faustaj Evilasius, and Maximus of Cyzicus.|0
FEBRUARY 6|Our Father among the Saints Photius the Confessor,Patriarch of Constantinople, the Equal to the Apostles.|0
FEBRUARY 6|The Holy Martyrs Faustus, Basil, and Silvan, and the Holy Martyrs in the district of Darius.|0
FEBRUARY 6|Our righteous Fathers Barsanuphius the Great and John the Prophet, his disciple.|0
